Year,Publications,Gene
2019,19,Rev
2018,32,Rev
2017,27,Rev
2016,31,Rev
2015,34,Rev
2014,39,Rev
2013,51,Rev
2012,49,Rev
2011,44,Rev
2010,54,Rev
2009,50,Rev
2008,47,Rev
2007,49,Rev
2006,55,Rev
2005,52,Rev
2004,42,Rev
2003,55,Rev
2002,69,Rev
2001,67,Rev
2000,65,Rev
1999,71,Rev
1998,79,Rev
1997,109,Rev
1996,110,Rev
1995,93,Rev
1994,86,Rev
1993,59,Rev
1992,58,Rev
1991,58,Rev
1990,53,Rev
1989,23,Rev
1988,6,Rev
2019,53,RT
2018,59,RT
2017,76,RT
2016,95,RT
2015,115,RT
2014,122,RT
2013,151,RT
2012,141,RT
2011,191,RT
2010,175,RT
2009,196,RT
2008,181,RT
2007,123,RT
2006,107,RT
2005,119,RT
2004,109,RT
2003,102,RT
2002,115,RT
2001,120,RT
2000,99,RT
1999,104,RT
1998,105,RT
1997,80,RT
1996,104,RT
1995,76,RT
1994,75,RT
1993,81,RT
1992,70,RT
1991,59,RT
1990,19,RT
1989,18,RT
1988,9,RT
2019,73,Nef
2018,73,Nef
2017,71,Nef
2016,94,Nef
2015,113,Nef
2014,96,Nef
2013,102,Nef
2012,117,Nef
2011,108,Nef
2010,118,Nef
2009,118,Nef
2008,113,Nef
2007,107,Nef
2006,102,Nef
2005,116,Nef
2004,116,Nef
2003,97,Nef
2002,104,Nef
2001,110,Nef
2000,90,Nef
1999,107,Nef
1998,106,Nef
1997,111,Nef
1996,85,Nef
1995,66,Nef
1994,81,Nef
1993,45,Nef
1992,52,Nef
1991,51,Nef
1990,30,Nef
1989,20,Nef
1988,6,Nef
2019,88,Tat
2018,120,Tat
2017,147,Tat
2016,138,Tat
2015,135,Tat
2014,174,Tat
2013,155,Tat
2012,177,Tat
2011,178,Tat
2010,154,Tat
2009,143,Tat
2008,173,Tat
2007,174,Tat
2006,186,Tat
2005,203,Tat
2004,189,Tat
2003,181,Tat
2002,190,Tat
2001,189,Tat
2000,162,Tat
1999,207,Tat
1998,176,Tat
1997,167,Tat
1996,183,Tat
1995,163,Tat
1994,143,Tat
1993,138,Tat
1992,122,Tat
1991,104,Tat
1990,96,Tat
1989,50,Tat
1988,29,Tat
2019,26,Vpr
2018,24,Vpr
2017,37,Vpr
2016,48,Vpr
2015,41,Vpr
2014,50,Vpr
2013,50,Vpr
2012,35,Vpr
2011,46,Vpr
2010,49,Vpr
2009,65,Vpr
2008,36,Vpr
2007,56,Vpr
2006,46,Vpr
2005,57,Vpr
2004,56,Vpr
2003,57,Vpr
2002,50,Vpr
2001,54,Vpr
2000,74,Vpr
1999,56,Vpr
1998,55,Vpr
1997,44,Vpr
1996,40,Vpr
1995,35,Vpr
1994,17,Vpr
1993,13,Vpr
1992,10,Vpr
1991,13,Vpr
1990,12,Vpr
1989,3,Vpr
1988,1,Vpr
2019,23,Vif
2018,27,Vif
2017,46,Vif
2016,36,Vif
2015,54,Vif
2014,53,Vif
2013,56,Vif
2012,57,Vif
2011,43,Vif
2010,57,Vif
2009,71,Vif
2008,68,Vif
2007,52,Vif
2006,53,Vif
2005,60,Vif
2004,50,Vif
2003,34,Vif
2002,29,Vif
2001,23,Vif
2000,22,Vif
1999,23,Vif
1998,30,Vif
1997,21,Vif
1996,28,Vif
1995,21,Vif
1994,14,Vif
1993,11,Vif
1992,16,Vif
1991,17,Vif
1990,8,Vif
1989,3,Vif
1988,1,Vif
2019,27,Vpu
2018,26,Vpu
2017,36,Vpu
2016,41,Vpu
2015,50,Vpu
2014,39,Vpu
2013,42,Vpu
2012,59,Vpu
2011,48,Vpu
2010,60,Vpu
2009,40,Vpu
2008,29,Vpu
2007,27,Vpu
2006,27,Vpu
2005,20,Vpu
2004,28,Vpu
2003,30,Vpu
2002,26,Vpu
2001,23,Vpu
2000,26,Vpu
1999,25,Vpu
1998,29,Vpu
1997,23,Vpu
1996,32,Vpu
1995,19,Vpu
1994,21,Vpu
1993,15,Vpu
1992,16,Vpu
1991,10,Vpu
1990,9,Vpu
1989,2,Vpu
1988,2,Vpu
